,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
40,Channel 1 Suite - Four Tet remix,Xen Cuts,Various Artists,2000-09-18,456520,14,0.607,0.332,0.834,0.516,0.132,-8.618,0.0426,132.028,0.368
41,0000 871 0011,871,00110100 01010100,2020-12-25,18957,0,0.243,0.163,0.205,0.965,0.334,-18.339,0.0433,60.043,0.0
42,October 2011,2011 Until 2014,Percussions,2015-04-28,164349,13,0.726,0.111,0.766,0.888,0.0868,-13.527,0.0663,114.993,0.565
43,The First Big Weekend - Four Tet Mix,There Is No Ending,Arab Strap,2006-11-05,287520,12,0.783,0.087,0.711,0.261,0.119,-12.26,0.265,146.689,0.246
44,So U Kno,BMW Track / So U Kno,Overmono,2021-06-16,343506,50,0.82,0.106,0.601,0.221,0.0399,-8.332,0.0492,129.973,0.543
45,"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]","Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]",Skrillex,2021-06-10,167253,69,0.487,0.0145,0.669,0.00349,0.102,-6.473,0.232,172.026,0.0573
46,Cichli,Chiastic Slide,Autechre,1997-02-17,532800,21,0.469,0.39,0.941,0.0466,0.324,-9.644,0.709,79.379,0.624
47,Slow Bicycle,Yesterday Was Dramatic – Today Is OK,múm,2005-10-04,521640,24,0.599,0.982,0.131,0.926,0.0926,-20.158,0.038,120.002,0.177
48,Apple Tree,Apple Tree,Jayla Kai,2021-06-10,149720,14,0.401,0.159,0.549,0.0,0.102,-6.914,0.0927,71.651,0.699
49,Empty Glasses - Kim's Basement 4 track Version,Tipp City,The Amps,1995-10-30,153133,13,0.258,0.316,0.931,0.469,0.305,-4.572,0.141,153.948,0.413
50,Hand Grenade,Hand Grenade +2,Team Dresch,2019-05-31,202514,13,0.443,0.0143,0.93,0.528,0.0575,-3.526,0.0411,111.615,0.757
51,Yedin Beni,Dünden Bugüne,Ersen ve Dadaşlar,1976,287078,22,0.615,0.0514,0.671,0.0166,0.285,-12.611,0.0499,124.614,0.762
52,Baby Let's Dance Together - Shalimar / Soundtrack Version,Shalimar (OST),Various Artists,1978-01-01,158693,0,0.58,0.62,0.559,0.000421,0.131,-13.591,0.0743,90.713,0.859
53,Love Ritual (Bwana Mix),Love Ritual,Al Green,1989,259680,0,0.766,0.191,0.767,0.00114,0.105,-11.757,0.0408,98.693,0.921
54,Eu E Maria,Pelas Esquinas De Ipanema,Erasmo Carlos,1978,241640,17,0.857,0.458,0.691,0.000147,0.0815,-10.612,0.128,106.086,0.893
55,My Sound,Music Is Rotted One Note,Squarepusher,1998-10-12,367373,22,0.539,0.203,0.35,0.642,0.0662,-11.991,0.032,77.372,0.406
56,8th Chance,Reporting from Detroit,Terrence Dixon,2021-05-14,184962,0,0.626,0.846,0.39,0.934,0.112,-18.391,0.0419,124.986,0.659
57,Darkness Calling,Paling Trax 4,TAFKAMP,2021-05-28,327033,25,0.776,0.00178,0.978,0.92,0.624,-7.012,0.0752,137.999,0.814
58,PHONKY TOWN,PHONKY TOWN,PlayaPhonk,2021-03-16,141373,66,0.804,0.409,0.803,0.786,0.119,-4.673,0.346,125.0,0.339
59,Pockets,Pockets,Four Tet,2006-06-12,318468,14,0.69,0.00191,0.68,0.122,0.17,-8.068,0.0539,127.008,0.667
60,Long Gawacha,Tour India,Apna Sangeet,1987-01-01,257246,12,0.592,0.708,0.652,0.0,0.167,-5.406,0.0522,177.03,0.963
61,Joy Squad,Joy Squad,Koreless,2021-05-26,271946,38,0.306,0.0213,0.505,0.825,0.112,-7.348,0.0407,81.921,0.0692
62,Are You There - Instrumental Version,Are You There,Todd Edwards,2003-09-25,367664,11,0.821,0.00677,0.817,0.933,0.042,-5.014,0.075,131.954,0.969
63,Pockets - Minimal,Pockets,Four Tet,2006-06-12,355264,11,0.801,0.12,0.619,0.0526,0.209,-9.667,0.0461,126.994,0.271
64,De I Comahlee Ah (extended),Melodies Record Club #001: Four Tet selects,Jackie McLean,2021-05-07,744203,27,0.536,0.227,0.793,3.87e-05,0.0501,-8.855,0.126,124.97,0.429
65,MRA,Melodies Record Club #001: Four Tet selects,Jackie McLean,2021-05-07,302297,30,0.415,0.0887,0.832,0.156,0.154,-6.808,0.0775,157.859,0.673
66,Lady Burning Sky,Lady Burning Sky,Neutron 9000,2021-05-07,841685,1,0.706,0.707,0.656,0.533,0.0758,-10.975,0.0335,139.962,0.306
67,Black Rainbow,Black Rainbow / Moonlight,Koreless,2021-05-13,272866,30,0.437,0.0311,0.601,0.765,0.0914,-8.632,0.044,120.862,0.0557
68,Butterflies (with Starrah & Four Tet),Butterflies (with Starrah & Four Tet),Skrillex,2021-05-10,195937,62,0.738,0.00536,0.844,0.0119,0.397,-5.743,0.14,128.005,0.243
69,Love No More,First Light,Sleepnet,2021-03-12,174254,30,0.504,0.0547,0.738,0.792,0.0946,-5.082,0.0761,107.931,0.188
70,Palace Of The Peacock,Electronic Labyrinth,Basic Rhythm,2021-05-14,323195,19,0.817,0.187,0.557,0.732,0.224,-11.652,0.341,130.039,0.789
71,Valley,Through Twist And Seam EP,Ocean Stirs,2021-03-26,315565,1,0.613,0.00607,0.77,0.815,0.0875,-7.92,0.0461,160.018,0.477
72,Chemicals,Pisces Problems,TYSON,2021-04-30,207826,16,0.683,0.583,0.405,0.000149,0.0929,-8.078,0.0784,76.966,0.216
73,Do What You Gotta Do,Chapter Two,Roberta Flack,1970,249946,37,0.448,0.71,0.24,0.0,0.132,-13.719,0.0301,106.57,0.451
74,Twin Stars of Thence - Alternate Mix,Lanquidity (Definitive Edition),Sun Ra,2021-05-14,591853,0,0.392,0.567,0.55,0.0192,0.115,-11.988,0.0378,81.459,0.852
75,I Can't Lie,I Can't Lie,Jayla Kai,2021-05-06,221693,35,0.729,0.314,0.411,5.82e-06,0.108,-9.443,0.0451,101.944,0.409
76,Salamaleikoum,Salamaleikoum,Wau Wau Collectif,2020-12-01,210807,9,0.54,0.944,0.518,0.542,0.117,-12.153,0.0293,99.973,0.472
77,Pedro Don't Fail Me Now,Dreams Of Pedro,Pandit Pam Pam,2021-04-23,121200,11,0.426,0.769,0.512,0.919,0.367,-10.686,0.0295,100.059,0.417
78,Pisces Problems,Pisces Problems,TYSON,2021-04-30,254346,25,0.794,0.242,0.422,0.0105,0.101,-9.399,0.0521,115.011,0.501
79,Bartleby 2,Bartleby (Original Soundtrack Recording),Roger Webb,2021-04-02,135792,19,0.621,0.652,0.502,0.948,0.127,-12.186,0.0575,89.169,0.593
80,Cala Boca Menino,Quem É Quem,João Donato,1973-01-08,143066,26,0.793,0.825,0.691,0.0221,0.112,-10.201,0.123,98.596,0.886
81,Jerry Garcia's Finger,Superunknown (Deluxe Edition),Soundgarden,1994-03-09,204653,22,0.251,0.233,0.777,0.901,0.144,-9.943,0.162,143.197,0.195
82,Kanyon,Sanxenxo,Nathan Fake,2021-04-16,554840,15,0.835,0.00426,0.74,0.0665,0.373,-6.002,0.348,129.012,0.336
83,Rolled Into,Rolled Into,Big Ever,2021-04-22,299667,18,0.798,0.00365,0.903,0.905,0.0545,-12.501,0.049,125.013,0.859
84,Taboo (feat. Shola Ama) - MJ Cole Full Vocal Mix,Bills 2 Pay,Glamma Kid,1999,327573,35,0.855,0.0814,0.791,0.00296,0.106,-10.796,0.196,129.977,0.875
85,Tuesday,Tuesday,TYSON,2021-04-09,172320,37,0.667,0.0171,0.573,1.56e-05,0.146,-7.947,0.0506,149.908,0.565
86,Acid Track,Acid Track,Basic Rhythm,2021-04-08,206889,5,0.886,0.116,0.444,0.885,0.13,-11.059,0.307,130.017,0.22
87,Idioma,Intimate Immensity,Tomaga,2021-03-26,253298,26,0.594,0.869,0.788,0.925,0.106,-11.037,0.0345,111.067,0.177
88,C Tactile Afferent,C Tactile Afferent,Ola Szmidt,2021-04-02,216000,10,0.401,0.951,0.186,0.255,0.108,-11.596,0.0315,101.949,0.165
89,Movement 1,Promises,Floating Points,2021-03-26,384151,9,0.245,0.981,0.11,0.0555,0.157,-20.277,0.0673,76.303,0.179
90,Movement 2,Promises,Floating Points,2021-03-26,151327,8,0.17,0.942,0.12,0.955,0.126,-18.495,0.0447,127.879,0.0612
91,Movement 3,Promises,Floating Points,2021-03-26,152088,7,0.157,0.976,0.0618,0.875,0.197,-25.714,0.0376,132.995,0.0389
92,Movement 4,Promises,Floating Points,2021-03-26,151770,7,0.266,0.966,0.0576,0.728,0.194,-21.557,0.0483,116.605,0.149
93,Movement 5,Promises,Floating Points,2021-03-26,265224,7,0.327,0.975,0.221,0.693,0.172,-16.176,0.0374,102.003,0.355
94,Movement 6,Promises,Floating Points,2021-03-26,530894,14,0.115,0.805,0.257,0.819,0.184,-14.611,0.0349,93.784,0.0725
95,Movement 7,Promises,Floating Points,2021-03-26,568933,6,0.129,0.961,0.26,0.491,0.124,-19.128,0.0567,62.031,0.0655
96,Movement 8,Promises,Floating Points,2021-03-26,442961,5,0.229,0.91,0.0681,0.625,0.103,-25.622,0.0534,129.987,0.0365
97,Movement 9,Promises,Floating Points,2021-03-26,129949,4,0.0755,0.902,0.0341,0.806,0.0845,-26.306,0.0438,177.092,0.0318
98,White Dress,Chemtrails Over The Country Club,Lana Del Rey,2021-03-19,333710,64,0.493,0.926,0.263,0.0,0.0879,-12.805,0.0351,122.792,0.158
99,Il letargo,Il bestiario,Maria Monti,1974,487533,9,0.291,0.935,0.244,0.125,0.104,-14.808,0.0337,123.421,0.206
100,Mere Jeevan Saathi,Saathi (Original Motion Picture Soundtrack),Naushad,1968-12-01,236253,11,0.408,0.699,0.468,1.8e-06,0.315,-8.603,0.0506,147.903,0.601
101,Iya Me Dji Ki Bi Ni,"The Vodoun Effect: Funk & Sato from Benin's Obscure Labels, Vol. 1: 1972-1975 (Analog Africa No. 4)",Orchestre Poly-Rythmo de Cotonou,2008-11-21,252013,8,0.7,0.179,0.925,0.0215,0.12,-5.673,0.0574,110.835,0.962
102,Pick a Day to Die,Pick a Day to Die,Sunburned Hand Of The Man,2021-03-12,445489,25,0.256,0.00013,0.587,0.684,0.103,-11.377,0.0349,149.131,0.0788
103,Dr. Buck's Letter,The Unutterable (Special Deluxe Edition),The Fall,2000-11-06,318760,26,0.66,0.598,0.727,0.608,0.117,-7.584,0.102,172.075,0.797
104,All Very Hush Hush,All Very Hush Hush,Mosca,2021-02-05,382439,30,0.808,0.00328,0.769,0.438,0.431,-7.239,0.146,123.03,0.232
105,Groove Therapy - Photek Remix,Certificate 18's Hidden Rooms Volume 03,Doc Scott,2001-08-05,344600,10,0.708,0.000961,0.57,0.838,0.0879,-11.689,0.0673,166.991,0.518
106,Ride Or Die (feat. Chilly Gonzales),Ride Or Die (feat. Chilly Gonzales),Boys Noize,2021-03-17,223658,39,0.44,0.157,0.586,5.61e-06,0.112,-7.472,0.0298,140.0,0.0771
107,Danfo Mellow,Beyond The Yellow Haze,Emeka Ogboh,2021-01-15,684391,26,0.858,0.0231,0.791,0.96,0.0965,-10.623,0.144,160.071,0.633
108,Afro Blue,Afro Roots,Mongo Santamaria,1989,235266,41,0.754,0.827,0.304,0.647,0.0943,-20.6,0.0633,94.032,0.798
109,Afro Blue,First Take (Deluxe Edition),Roberta Flack,2021-02-26,553080,12,0.363,0.65,0.131,0.499,0.0974,-21.271,0.0421,64.601,0.198
110,Afro Blue - Remastered,Abbey Is Blue,Abbey Lincoln,1987-01-01,196600,34,0.522,0.71,0.104,0.0,0.113,-16.564,0.0479,143.745,0.579
111,The Three Great Stimulants,Dog Eat Dog,Joni Mitchell,1985-10-01,373600,17,0.826,0.268,0.34,0.000303,0.144,-17.018,0.028,109.781,0.756
112,In the Hills,Lazy,Mr. Mitch,2021-03-05,265378,40,0.893,0.197,0.531,0.273,0.0957,-12.027,0.0612,131.998,0.537
113,"Baby, You're My Kind (Work Lead)",Blossom Dearie Sings (45th Anniversary Edition),Blossom Dearie,2017-06-09,203751,16,0.518,0.839,0.396,0.0993,0.138,-14.974,0.0517,187.363,0.618
114,The Format,The Format (Special Edition),AZ,2007-10-09,183440,0,0.644,0.151,0.808,0.0105,0.0687,-4.765,0.276,96.473,0.819
115,Whole Lotta Wickery,Merry Wickmas,Shawny Binladen,2020-12-24,185448,44,0.752,0.0448,0.469,0.0,0.106,-10.447,0.278,145.009,0.233
116,SK-1,SK-1,The Vernon Spring,2021-01-15,122569,17,0.35,0.984,0.189,0.945,0.118,-23.208,0.0456,165.482,0.477
117,Djatasoun,Siftorde,Tidiane Thiam,2020-05-15,203141,29,0.201,0.939,0.344,0.912,0.0777,-12.941,0.0383,164.124,0.655
118,Veering North,Col,Carl Matthews,2020-11-06,275821,7,0.696,0.786,0.329,0.918,0.0992,-15.464,0.036,116.494,0.55
119,"Two-Part ""Secret-Songs""",Viêtnam: Musique et chants des Hmong – Vietnam: Music and Singing of the Hmong,Les Hmong,1997,185000,5,0.418,0.988,0.0941,0.0187,0.159,-16.646,0.0534,75.401,0.476
120,Never Come Back - Koreless Remix,Never Come Back (Koreless Remix),Caribou,2021-02-08,244945,0,0.627,0.0328,0.714,0.0124,0.0765,-11.029,0.0334,129.613,0.421
121,Children's Song,Crystal Silence,Gary Burton,1973-04-16,127893,20,0.413,0.995,0.0115,0.959,0.144,-27.992,0.0614,115.457,0.397
122,Red Handed,Red Handed,TYSON,2021-02-17,172933,18,0.701,0.438,0.497,0.00165,0.106,-8.494,0.0726,110.108,0.356
123,Sustain,Sustain,Sam Gendel,2021-02-12,260463,33,0.202,0.808,0.393,0.922,0.138,-13.52,0.0311,159.85,0.164
124,Maadi Taarun Kanku Kharyun,Kalanun Kanku Ane Swarno Suraj,Asha Bhosle,1981-06-03,312746,7,0.398,0.901,0.322,0.000175,0.144,-11.395,0.0347,127.831,0.394
125,Tale of My Lost Love,Louis Wayne Moody High,Various Artists,2020-04-17,189161,11,0.394,0.16,0.524,0.0,0.103,-9.451,0.0297,110.618,0.248
126,Thou Art With Me,REACH,Various Artists,2021-01-01,107853,7,0.265,0.88,0.338,0.542,0.167,-12.254,0.0318,82.546,0.0738
127,Don't Want to Be Hurt (with The Fugitives),Put On Your Best Dress: Sonia Pottinger's Ska & Rock Steady 1966-67 (Expanded Version),Various Artists,1966-04-04,195746,37,0.79,0.723,0.257,0.0288,0.118,-11.103,0.0339,84.026,0.506
128,Ma Kwacha No.2,Aunka Ma Kwacha,Smokey Haangala,2019-12-12,184701,10,0.532,0.33,0.469,0.0,0.162,-10.956,0.0453,181.994,0.472
129,Why Can't There Be Love,"Gilles Peterson Digs America, Vol. 2",Various Artists,2007-09-17,164560,43,0.456,0.404,0.869,2.75e-05,0.0297,-5.893,0.222,206.387,0.775
130,Torture Chamber,Torture Chamber remix,Edan,2005-06-26,245706,8,0.733,0.161,0.945,0.000409,0.0656,-6.762,0.126,107.477,0.397
131,Going Down,Getting Ready... (World),Freddie King,1971,204333,58,0.565,0.0339,0.526,0.000119,0.11,-11.352,0.0365,167.936,0.637
132,African Sweets,Elegant Soul (Reissue),Gene Harris & The Three Sounds,1969-01-01,268480,15,0.608,0.743,0.671,0.823,0.637,-9.378,0.036,130.804,0.845
133,I Need Dub,"Uncut Gems ""Bonus Dubs""",Lavonz,2020-10-09,296005,0,0.88,0.0244,0.927,0.037,0.0597,-7.829,0.136,129.985,0.874
134,Like My Way,You've Got the Whole Night to Go,Logic1000,2021-01-22,253440,41,0.803,0.0258,0.581,0.84,0.0768,-8.054,0.17,125.007,0.163
135,I've Been Thinkin',This Is Me...Then,Jennifer Lopez,2002,281866,28,0.672,0.232,0.657,2.94e-05,0.0855,-6.197,0.0432,85.074,0.598
136,Flower Bed,Ruff Dog,Mica Levi,2020-12-16,158775,12,0.672,0.622,0.684,0.853,0.236,-9.395,0.0277,107.983,0.745
137,The New Normal,Sound Ancestors,Madlib,2021-01-29,148146,33,0.461,0.0037,0.86,0.964,0.173,-8.537,0.0341,182.669,0.974
138,Loose Goose,Sound Ancestors,Madlib,2021-01-29,141253,36,0.878,0.062,0.584,0.104,0.11,-13.087,0.622,145.626,0.926
139,Dirtknock,Sound Ancestors,Madlib,2021-01-29,134600,34,0.713,0.281,0.488,0.885,0.277,-10.278,0.321,177.837,0.565
140,Sound Ancestors,Sound Ancestors,Madlib,2021-01-29,170840,32,0.437,0.324,0.447,0.0019,0.501,-16.026,0.0581,108.408,0.507
141,One For Quartabê / Right Now,Sound Ancestors,Madlib,2021-01-29,162106,31,0.345,0.38,0.597,0.233,0.928,-9.114,0.0966,79.217,0.37
142,"Open Your Eyes, You Can Fly",The New Quartet,Gary Burton,1973-09-15,400160,16,0.376,0.456,0.678,0.151,0.0846,-13.857,0.0371,92.224,0.881
143,Conquistadores,El Chico,Chico Hamilton,1965-01-01,400480,42,0.568,0.521,0.925,0.451,0.132,-11.326,0.0405,79.542,0.936
144,Sunday Morning,Take A Picture,Margo Guryan,1968,140133,46,0.545,0.634,0.754,2.55e-06,0.118,-8.261,0.05,98.743,0.888
145,Mia Askisi Fysikis Alyti,Galop,Lena Platonos,2007-11-12,239266,19,0.758,0.197,0.657,1.24e-06,0.162,-8.266,0.219,130.735,0.838
146,Catastrophe and the Cure (Four Tet Mix),All of a Sudden I Miss Everyone (Remixes),Explosions In The Sky,2009-07-21,513013,13,0.587,0.102,0.607,0.542,0.696,-8.381,0.0389,112.978,0.183
147,BIPP - Autechre Mx,BIPP (Autechre Mx),SOPHIE,2021-01-14,213332,39,0.859,0.000997,0.398,0.0125,0.101,-11.742,0.0624,104.287,0.41
148,Drek,Vixere II/II,Malin Genie,2021-01-01,269336,13,0.883,0.0287,0.433,0.893,0.521,-12.298,0.169,129.975,0.659
149,Dead Cat Chaos Magician,Walk It Dry,Sly & The Family Drone,2020-07-17,236449,5,0.331,0.259,0.906,0.788,0.0848,-6.069,0.168,90.625,0.0458
150,Sentence,Amanita,Bardo Pond,1996-04-09,308560,12,0.0889,4.36e-05,0.88,0.75,0.114,-7.487,0.0636,184.25,0.239
151,On the Road South,"Texas Garage Bands, Vol. 2",Various Artists,2012-07-17,136597,6,0.165,0.0727,0.813,0.518,0.111,-8.131,0.0443,165.726,0.679
152,Lento,Lento,Pandit Pam Pam,2020-12-18,281913,8,0.533,0.852,0.195,0.927,0.169,-12.879,0.038,112.804,0.201
153,Put That Shit On,Put That Shit On,Yung Booke,2020-12-11,215986,13,0.868,0.032,0.572,0.0,0.0741,-9.756,0.0827,130.0,0.178
154,Hopprock,Hopprock,Madlib,2021-01-04,207146,29,0.671,0.119,0.656,0.184,0.047,-13.354,0.133,172.137,0.532
155,0000 871 0020,871,00110100 01010100,2020-12-25,324573,28,0.645,0.77,0.461,0.345,0.0659,-12.094,0.0329,81.175,0.17
156,Parallel 3,Parallel,Four Tet,2020-12-25,48168,29,0.379,0.988,0.128,0.861,0.1,-20.533,0.0994,67.686,0.0657
157,0000 871 0006,871,00110100 01010100,2020-12-25,209861,15,0.252,0.796,0.301,0.00553,0.109,-13.027,0.0448,141.495,0.0744
158,Too Long At The Fair - Live,"Cryin' Mercy (Live, Sausalito '73)",Bonnie Raitt,2020-12-03,165250,10,0.548,0.862,0.43,0.121,0.0889,-12.74,0.045,128.915,0.335
159,Willow's Song,The Wicker Man,Magnet,2002,282746,27,0.417,0.877,0.24,0.123,0.112,-18.934,0.0279,105.346,0.468
160,Road to Madrid,The Problem With Me,Seam,1993-09-20,359333,13,0.365,0.0199,0.461,0.787,0.103,-13.612,0.0324,114.499,0.136
161,Sai do Sereno,Expresso 2222,Gilberto Gil,1972-01-01,200306,19,0.487,0.208,0.799,0.447,0.0677,-7.605,0.0856,68.481,0.566
162,Sete Cachorros,Nelson Angelo E Joyce,Nelson Angelo,1972-01-01,163106,16,0.586,0.799,0.656,0.364,0.126,-8.987,0.0307,98.457,0.618
163,Equipoise,A Life in Time - The Roy Haynes Story,Various Artists,2007-01-01,264480,3,0.46,0.722,0.525,0.135,0.172,-9.505,0.0561,139.797,0.379
164,Sorti,Voice Of The Wolf,Various Artists,1975,236746,5,0.504,0.259,0.522,0.68,0.131,-12.962,0.0457,74.879,0.162
165,Dedicated To You,Marea / Tide,Ruins,2019-10-14,126751,5,0.185,0.942,0.105,0.919,0.11,-23.48,0.0462,144.11,0.0849
166,Parallel 7,Parallel,Four Tet,2020-12-25,343400,44,0.649,0.884,0.491,0.678,0.111,-15.286,0.0774,78.019,0.257
167,Beno!,Whole Lotta Red,Playboi Carti,2020-12-25,153333,61,0.923,0.0213,0.562,0.0,0.0726,-7.357,0.304,144.067,0.499
168,Rhymes Like Dimes,Operation: Doomsday (Complete),MF DOOM,1999-04-20,258613,64,0.644,0.662,0.751,0.0,0.17,-5.652,0.268,99.948,0.759
169,Rae Dawn,Rae Dawn / Change the Beat,Viktor Vaughn,2012-01-17,180600,28,0.801,0.449,0.609,0.0,0.179,-6.059,0.397,97.924,0.632
170,"I Hear Voices Pt. 1 - 12"" Version",Operation: Doomsday (Complete),MF DOOM,1999-04-20,171920,35,0.679,0.423,0.557,0.0,0.313,-9.435,0.0651,116.244,0.691
